X,Y,fid,XUTM,YUTM,Título,URL,Idioma,Autor,Imprenta,Direcciones,Editorial,Ano,Materia,iMAGEN,icon_url
2.17741,41.38497,1,"41.38497","2.17741",Nova època : revista literaria bilingüe,http://ddd.uab.cat/record/268066,cat,Anònim,Barcelona ,"Via Laietana, 15, 08003"," [s.n.], 1982-",80,"Còmics ; Revistes ; Creació literària, artística, etc",,./0.png
2.17988,41.43024,2,"41.43024","2.17988",Fénix el fanzine resurgido,http://ddd.uab.cat/record/268025,spa,Anònim,Barcelona ,"Carrer Malgrat, 82, 08016"," [s.n.], 1987-",80,"Còmics ; Revistes",,./0.png
2.1536,41.42587,3,"41.42587","2.1536",X-Fan,http://ddd.uab.cat/record/267991,spa,Anònim,Barcelona ,"Carrer Pantano de Tremp, 28, 08032", [X-Fan] 1986-,80,"Còmics ; Revistes",,./0.png
2.14193,41.38794,4,"41.38794","2.14193",Shuriken : boletín bimensual de información sobre el cómic,http://ddd.uab.cat/record/267976,spa,Anònim,Barcelona ,"Carrer Gelabert, 10-12, 08029", [Shuriken] [1988]-,80,"Còmics ; Revistes",,./0.png
2.1572,41.42756,5,"41.42756","2.1572",Propaganda moderna,http://ddd.uab.cat/record/267970,spa,Pastanaga Ediciones,Barcelona ,"Carrer Dante Alighieri, 105"," Pastanaga Ediciones, 1977",70,Còmics,,./0.png
2.16172,41.39954,6,"41.39954","2.16172",Saturn[o],http://ddd.uab.cat/record/267950,spa,Xavier Roca i Sebastià Roig,Barcelona ,"Carrer Perill, 29"," Xavier Roca i Sebastià Roig, 1985",80,"Còmics ; Revistes ; Fanzines",,./0.png
2.14373,41.37064,7,"41.37064","2.14373",Filtro. Neofanzine,http://ddd.uab.cat/record/267923,spa,"""Rock in"" management",Barcelona ,"Gran Via de les Corts Catalanes, 635"," [s.n.], [1984]-",80,"Còmics ; Revistes ; Creació literària, artística, etc",,./0.png
2.12481,41.39107,8,"41.39107","2.12481",Fet a mà,http://ddd.uab.cat/record/267922,cat,Amics de la Historieta Gràfica,Barcelona ,"Passeig Nostra Senyora del Coll, 41-51"," Amics de la Historieta Gràfica, 1983-",80,"Còmics ; Revistes",,./0.png
2.17457,41.36367,9,"41.36367","2.17457",Carajillo : sólo para adultos,http://ddd.uab.cat/record/267861,spa,Anónim,Barcelona ,"Gran Via de les Corts Catalanes, 160"," Madragora, [ 1975]-[197-]",70,"Còmics ; Revistes.",,./0.png
2.19774,41.39786,10,"41.39786","2.19774",El Clan Marvel : boletín oficial del club,http://ddd.uab.cat/record/267851,spa,Clan Marvel,Barcelona ,"Calle Mariano Cubí, 74, 08006"," El Clan, [1986-1986]",80,"Còmics ; Revistes",,./0.png
